"store","week","cola_profit","cola_move","pepsi_profit","pepsi_move","sprite_profit","sprite_move","store","week","grocery","dairy","frozen","bottle","mvpclub","groccoup","meat","meatfroz","meatcoup","fish","fishcoup","promo","promcoup","produce","bulk","saladbar","prodcoup","bulkcoup","salcoup","floral","florcoup","deli","deliself","deliexpr","convfood","cheese","delicoup","bakery","pharmacy","pharcoup","gm","jewelry","cosmetic","haba","gmcoup","camera","photofin","video","videoren","vidcoup","beer","wine","spirits","miscscp","mancoup","custcoun","ftgchin","ftgccoup","ftgital","ftgicoup","daircoup","frozcoup","habacoup","photcoup","cosmcoup","ssdelicp","bakcoup","liqcoup","days"
2,27,105.19,609,161.96,1818,139.02,120,2,27,122593.31,32100.7705078125,21849.5100097656,15.45,0,-1796.23,33198.19,3105.62994384766,-58,3239.35,0,1549.28,-24,34124.34,1172.36,237.930000305176,-92.7500009536743,-16.4000002145767,0,2579.1,-17.25,11958.68,8578.40997314453,0,791.030006408691,1031.21002197266,-279.939998626709,11844.5798339844,0,0,15514.33,0,0,5897.69,-256.329996109009,0,613.200004577637,198.570001840591,0,-93,0,0,0,-142.990001678467,0,14553,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,28,93.41,105,182.66,747,159.72,57,2,28,128450.31,31293.9599609375,22405.2302246094,3.49,0,-1001.05,30552.55,3268.45999145508,-61.6599988937378,4409.03,0,1259.33,-4,34910.35,1285.43,102.739999651909,-16.9600002765656,-3.20000004768372,0,2708.4,-29.5,12029,8309.25994873047,0,874.819999694824,1264.43999481201,-27.8000004291534,12039.5999755859,2,0,16870.98,0,0,5861.28,-288.909999847412,0,551.430004119873,245.089998245239,0,-20,2.27,0,0,-98.9700002670288,0,14229,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,29,60.82,171,201.88,1784,100.56,26,2,29,123280.35,30346.1496582031,20821.7399902344,2.49,0,-819.3,31051.85,3008.57995605469,-0.5,3913.79,0,1235.01,-1,35098.89,1239.64,50.1399998664856,-15.1000003814697,0,0,2234.7,-4,12136.46,8498.64984130859,0,835.979995727539,1257.4100112915,-327.449998855591,11528.8200683594,0,0,15882.86,0,0,6018.19,-249.019998550415,0,456.990001678467,171.719999313354,0,-13.7999999523163,0,0,0,-80.5500001907349,0,13890,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,30,71.71,19,105.31,174,28.7,6,2,30,136778.65,35711.5297851562,20765.5400390625,-3.38,0,-7553.77,35752.49,3891.30999755859,-719.680000305176,4362.47,0,1181.92,0,34281.98,1034.24,37.5899999141693,-78.300000667572,0,-0.400000005960464,4219.2,-36.9599993228912,11623.59,9353.53002929688,0,750.120002746582,1557.80997467041,-247.470001220703,11872.3901367188,0,0,17446.61,0,0,6122.58,-270.799997329712,0,460.240001678467,299.909998416901,0,-58.5199999809265,0,0,0,-93.3499994277954,0,15289,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,31,85.43,171,228.98,860,118.52,70,2,31,123522.87,33840.6496582031,19270.2001953125,3.55,0,-1548.57,28953.84,2577.77996826172,-26.1399998664856,4321.51,0,622.92,0,34324.6,895.81,53.6500004529953,-24.9499998092651,0,0,9791.16,-34.9499988555908,13551.53,8875.17993164062,0,535.66999912262,1478.07001495361,-164.699998259544,13116.6599121094,0,0,16715.16,0,0,6074.12,-81.880001783371,0,386.649997711182,132.089996576309,0,-12.6900000572205,0,0,0,-61.5499997138977,0,15164,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,32,71.71,216,181.12,1178,72.06,96,2,32,119208.26,29793.6696777344,21625.080078125,-5.49,0,-1699.37,32467.86,2110.52998352051,0,2825.66,0,1228.4,-1,33657.98,1196.98,69.9399995803833,-11,0,0,2453.16,0,11975.53,8500.16015625,0,835.980003356934,1135.06999206543,-84.7000007629395,10929.6201171875,0,0,17652.39,0,0,5862.66,-10.25,0,821.289985656738,108.400000095367,0,-1.5,0,0,0,-40.25,0,14136,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,33,120.52,1184,218.78,2636,169.68,166,2,33,128393.24,29169.8400878906,22639.5798339844,15.29,0,-656.5,30647.14,3005.21002197266,0,2760.8,0,1951.27,-82,36004.85,1146.76,39.6499996781349,-97.9599988460541,-1,0,2773.15,-2,12346.81,9374.11010742188,0,910.729995727539,976.099998474121,-85.5200009346008,10736.8199462891,0,0,17940.65,0,0,5999.56,-27.0600001811981,0,840.990013122559,90.7900016307831,0,-3.20000004768372,0,0,0,-67.050000667572,0,14561,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,34,93.41,126,108.6,476,133.5,49,2,34,133463.36,30958.580078125,23302.3403320312,2.5,0,-9785.32,34560.8,3421.98999023438,-1215.24998474121,3250.34,0,1686.11,-115,34559.4,1319.7,105.050002098083,-774.130012512207,-25.8000001907349,0,2591.07,-70.2899997234344,13109.3,11272.91015625,0,699.180000305176,1086.28000640869,-1758.8099822998,12203.9100341797,0,0,18025.79,0,0,6496.52,-609.939990997314,0,585.379997253418,202.18999505043,0,-1.52999997138977,0,0,0,-518.19998550415,0,14692,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,35,144.29,995,239.3,1491,165.91,68,2,35,141372.89,31806.8896484375,22481.1103515625,-1.06,0,-1889.24,33860.64,2523.73002624512,-7.87000012397766,4052.23,0,1476.97,-225,35177.2,1237.68,112.789999008179,-6.74999991059303,0,0,8345.45,-9,13062.43,10235.6301269531,0,823.339988708496,1278.50000762939,-35.9800004959106,12344.2899169922,0,0,19091.6,0,0,5998.25,-71.230001449585,0,456.1399974823,87.4199991226196,0,0,0,0,0,-90.5799989700317,0,15758,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,36,73.48,270,130.87,574,72.68,45,2,36,134292.34,32306.8505859375,22737.3000488281,13.04,0,-4641.94,34585.52,2526.17999267578,-47,3413.04,0,1213.47,-241,34502.33,965.59,149.409999847412,-10.5600001811981,-1,-35,2142.65,0,12607.95,11075.0301513672,0,822.789993286133,1246.5,-656.299995422363,12382,0,0,17097.71,0,0,5632.73,-54.1200014352798,0,596.85001373291,288.720007896423,0,0,0,0,0,-204.39999961853,0,14936,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,37,93.41,162,178.54,445,159.72,151,2,37,131099.01,30551.3901367188,21227.9499511719,-4.66,0,-2697.24,36713.7,1947.3999786377,-31.7399997711182,3108.33,0,1049.71,-435,37371.06,750.84,231.550000071526,-43.1600003242493,0,0,2218.25,-9,12595.34,10450.83984375,0,814.049995422363,997.579986572266,-183.75,12838.6900634766,0,0,20239.85,0,0,5160.95,-283.309999465942,0,604.020000457764,224.210004806519,0,-9.68999999761581,0,0,0,-76.5900011062622,0,15714,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,38,62.95,408,156.44,606,119.86,112,2,38,131857.43,31887.3400878906,29820.1499023438,7.87,0,-5547.83,34189.81,2875.39001464844,-843.540023803711,3962.51,0,808.57,-347,41484.55,607.26,245.319999933243,-11.2699999809265,0,0,3364.28,-670.32999420166,14965.7,11238.0200195312,0,769.110008239746,1094.81999206543,-741.76000213623,13119.6099853516,0,0,20712.98,0,0,5374.67,-333.530000686646,0,579.899997711182,152.68999671936,0,-13.1899995803833,0,0,0,-781.159992218018,0,16886,0,0,0,0,0,0,0,0,0,0,0,0,2548
